path,format,strategy,institution,language,status,quality_score,characters,size_bytes,pages,error,metadata
data/raw_muestra/F1_IA_y_Capacidades_Estrategicas/AI_Index_Stanford/pdfs/AIINDEX_ai-index-report-2017.pdf,pdf,,,,PDF_OK,,96699,0,101,,{}
data/raw_muestra/F1_IA_y_Capacidades_Estrategicas/AI_Index_Stanford/pdfs/AIINDEX_ai-index-report-2018.pdf,pdf,,,,PDF_OK,,130829,0,94,,{}
data/raw_muestra/F1_IA_y_Capacidades_Estrategicas/AI_Index_Stanford/pdfs/AIINDEX_ai-index-report-2019.pdf,pdf,,,,PDF_OK,,438672,0,291,,{}
data/raw_muestra/F1_IA_y_Capacidades_Estrategicas/AI_Index_Stanford/pdfs/AIINDEX_ai-index-report-2021.pdf,pdf,,,,PDF_OK,,412516,0,222,,{}
data/raw_muestra/F1_IA_y_Capacidades_Estrategicas/AI_Index_Stanford/pdfs/AIINDEX_ai-index-report-2022.pdf,pdf,,,,PDF_OK,,391210,0,230,,{}
data/raw_muestra/F1_IA_y_Capacidades_Estrategicas/AI_Index_Stanford/pdfs/AIINDEX_ai-index-report-2023.pdf,pdf,,,,PDF_OK,,584653,0,386,,{}
data/raw_muestra/F1_IA_y_Capacidades_Estrategicas/AI_Index_Stanford/pdfs/AIINDEX_ai-index-report-2024.pdf,pdf,,,,PDF_OK,,767755,0,502,,{}
data/raw_muestra/F1_IA_y_Capacidades_Estrategicas/AI_Index_Stanford/pdfs/AIINDEX_ai-index-report-2025.pdf,pdf,,,,PDF_OK,,812955,0,457,,{}
data/raw_muestra/F1_IA_y_Capacidades_Estrategicas/AI_Index_Stanford/pdfs/AIINDEX_ai-index-report-2026.pdf,pdf,,,,PDF_OK,,877797,0,425,,{}
data/raw_muestra/F1_IA_y_Capacidades_Estrategicas/AI_Index_Stanford/recursos/AI_Index_Report/pdfs/AIINDEX_ai-index-2024-ch1-research-development.pdf,pdf,,,,PDF_OK,,71518,0,51,,{}
data/raw_muestra/F1_IA_y_Capacidades_Estrategicas/AI_Index_Stanford/recursos/AI_Index_Report/pdfs/AIINDEX_ai-index-2024-ch2-technical-performance.pdf,pdf,,,,PDF_OK,,142932,0,92,,{}
data/raw_muestra/F1_IA_y_Capacidades_Estrategicas/AI_Index_Stanford/recursos/AI_Index_Report/pdfs/AIINDEX_ai-index-2024-ch3-responsible-ai.pdf,pdf,,,,PDF_OK,,114172,0,61,,{}
data/raw_muestra/F1_IA_y_Capacidades_Estrategicas/AI_Index_Stanford/recursos/AI_Index_Report/pdfs/AIINDEX_ai-index-2024-ch4-economy.pdf,pdf,,,,PDF_OK,,143488,0,93,,{}
data/raw_muestra/F1_IA_y_Capacidades_Estrategicas/AI_Index_Stanford/recursos/AI_Index_Report/pdfs/AIINDEX_ai-index-2024-ch5-science-medicine.pdf,pdf,,,,PDF_OK,,42075,0,32,,{}
data/raw_muestra/F1_IA_y_Capacidades_Estrategicas/AI_Index_Stanford/recursos/AI_Index_Report/pdfs/AIINDEX_ai-index-2024-ch6-education.pdf,pdf,,,,PDF_OK,,54876,0,45,,{}
data/raw_muestra/F1_IA_y_Capacidades_Estrategicas/AI_Index_Stanford/recursos/AI_Index_Report/pdfs/AIINDEX_ai-index-2025-ch1-research-development.pdf,pdf,,,,PDF_OK,,104950,0,62,,{}
data/raw_muestra/F1_IA_y_Capacidades_Estrategicas/AI_Index_Stanford/recursos/AI_Index_Report/pdfs/AIINDEX_ai-index-2025-ch2-technical-performance.pdf,pdf,,,,PDF_OK,,153114,0,86,,{}
data/raw_muestra/F1_IA_y_Capacidades_Estrategicas/AI_Index_Stanford/recursos/AI_Index_Report/pdfs/AIINDEX_ai-index-2025-ch3-responsible-ai.pdf,pdf,,,,PDF_OK,,114498,0,58,,{}
data/raw_muestra/F1_IA_y_Capacidades_Estrategicas/AI_Index_Stanford/recursos/AI_Index_Report/pdfs/AIINDEX_ai-index-2025-ch4-economy.pdf,pdf,,,,PDF_OK,,124956,0,77,,{}
data/raw_muestra/F1_IA_y_Capacidades_Estrategicas/AI_Index_Stanford/recursos/AI_Index_Report/pdfs/AIINDEX_ai-index-2025-ch5-science.pdf,pdf,,,,PDF_OK,,103718,0,53,,{}
